ID_ALL_RAW_DATA,ABUNDANCE,BIOMASS,ID_SPECIES,SAMPLE_DESC,LATITUDE,LONGITUDE,DEPTH,DAY,MONTH,YEAR,STUDY_ID,newID,species,resolution,taxon,kingdom,phylum,class,order,family,genus
12854637,,0.5,50339.0,63.97085_-21.16772_ThykkvibaerVE82/818b_15_2005,63.97085,-21.16772,15.0,,,2005,485,14352,Equisetum palustre,species,Plants,Plantae,Tracheophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum
9189,1.0,,196.0,1987,2.982,102.313,,,,1987,201,2752,Aphanamixis polystachya,species,Plants,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Aphanamixis
498554,1.0,,4033.0,33.8162_-123.435_1995_1_19_4312,33.8162,-123.435,-4312.0,19.0,1.0,1995,169,21120,Larus californicus,species,Birds,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus
179769,5.0,,2823.0,37.9667_-29.05_2000_5_14_1023,37.9667,-29.05,-1023.0,14.0,5.0,2000,172,11911,Delphinus delphis,species,Marine mammals,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus
496374,1.0,,4373.0,33.4761_-122.547_1999_4_13_4046,33.4761,-122.547,-4046.0,13.0,4.0,1999,169,35073,Rissa tridactyla,species,Birds,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa
4285555,1092.0,594.64,5026.0,54.41_-165.5_2003_7_2_106,54.41,-165.5,-106.0,2.0,7.0,2003,163,4732,Bathymaster signatus,species,Fish,Animalia,Chordata,,Perciformes,Bathymasteridae,Bathymaster
90039,2369360.0,,1840.0,2004_5_24,50.25,-4.217,,24.0,5.0,2004,33,31155,Phytoflagellate,kingdom,Protozoa,,,,,,
718277,2.0,,3729.0,41.35_-75.25_1978_3511,41.35,-75.25,,,,1978,195,5924,Buteo jamaicensis,species,Birds,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo
678268,1.0,,4539.0,61.2833_-65.0667_1974_9_6,61.2833,-65.0667,,6.0,9.0,1974,166,41436,Uria lomvia,species,Birds,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria
4996288,1.0,,15515.0,-21.835_149.895_2003_12_2_20.5,-21.835,149.895,-20.5,2.0,12.0,2003,186,17329,Gonodactylaceus graphurus,species,Marine/freshwater invertebrates,Animalia,Arthropoda,Malacostraca,Stomatopoda,Gonodactylidae,Gonodactylaceus
313270,4.0,,3780.0,50.6333_-50.1333_1978_8_24,50.6333,-50.1333,,24.0,8.0,1978,166,38201,Stercorarius skua,species,Birds,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius
884315,26.0,,3892.0,42.5167_-86.1333_2003_2030,42.5167,-86.1333,,,,2003,195,36820,Setophaga petechia,species,Birds,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga
730135,42.0,,3762.0,33.5333_-87_2002_16,33.5333,-87.0,,,,2002,195,6972,Cardinalis cardinalis,species,Birds,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis
749171,15.0,,3771.0,48.1167_-123.383_1998_4433,48.1167,-123.383,,,,1998,195,37716,Spinus tristis,species,Birds,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus
9586229,1.0,,4371.0,45.333573_-111.129254_2004_6_20,45.333573,-111.129254,,20.0,6.0,2004,217,34605,Regulus satrapa,species,Birds,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus
6143381,3.0,,35247.0,6.3947_-162.346_2010_4_17_46.5,6.3947,-162.346,-46.5,17.0,4.0,2010,122,38264,Steroenepthya,genus,Invertebrates,,,,,,
304874,27.0,,3657.0,1973_Lousana,52.113837,-113.193415,,,,1973,47,2131,Spatula clypeata,species,Birds,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula
469550,9.0,,4120.0,39.6167_-73.3333_1984_3_22,39.6167,-73.3333,,22.0,3.0,1984,166,25236,Morus bassanus,species,Birds,Animalia,Chordata,Aves,Suliformes,Sulidae,Morus
16986466,560.36,,33713.0,EMP_NZD16_2016_01_05,38.097222,-121.666667,,5.0,1.0,2016,560,32187,Polyarthra,genus,Invertebrates,Animalia,,,,,
584697,3.0,,3422.0,42.7667_-66.35_1985_11_2,42.7667,-66.35,,2.0,11.0,1985,166,34152,Puffinus gravis,species,Birds,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus
7589925,1.0,0.1,5223.0,36.883331_-74.650002_1997_2_6_129,36.883331,-74.650002,-129.0,6.0,2.0,1997,213,6666,Cancer irroratus,species,Marine/freshwater invertebrates,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
3799767,1.0,,7058.0,41.152334_-67.9785_1990_2_26_Canada_17.5,41.152334,-67.9785,-17.5,26.0,2.0,1990,288,24172,Merluccius bilinearis,species,Fish,Animalia,Chordata,,Gadiformes,Merlucciidae,Merluccius
3228,8.0,,24.0,1992_2_Treefall_Base,47.4,-95.12,,,,1992,10,348,Acer spicatum,species,Plants,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer
10514988,0.08,,3398.0,1995_AMT1-4,47.9217,-14.8529,-40.0,26.0,9.0,1995,310,33323,Protoperidinium steinii,species,Chromista,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium
4538919,8.0,14.81,21387.0,58.99_-173.5_2003_7_2_69,58.99,-173.5,-69.0,2.0,7.0,2003,163,31844,Pleuronectes quadrituberculatus,species,Fish,Animalia,Chordata,,Pleuronectiformes,Pleuronectidae,Pleuronectes
486530,1.0,,4141.0,35.1333_-75.1_1985_8_30,35.1333,-75.1,,30.0,8.0,1985,166,27289,Oceanites oceanicus,species,Birds,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanites
346615,14.0,,3962.0,47.4833_-59.2833_1972_2_1,47.4833,-59.2833,,1.0,2.0,1972,166,16271,Fulmarus glacialis,species,Birds,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus
1005230,1.0,,4092.0,35.9833_-77.4167_1991_2832,35.9833,-77.4167,,,,1991,195,23872,Melanerpes erythrocephalus,species,Birds,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes
14328685,590.0,,40397.0,2002_5_15_Ipponmatsu-shita,35.766815,140.209167,-0.5,15.0,5.0,2002,577,4252,Aulacoseira ambigua,species,Chromista,Chromista,Ochrophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira
16521,1.0,,395.0,2004_7_7_15F,44.244,-122.158,,7.0,7.0,2004,194,6568,Campaea perlata,species,Terrestrial/freshwater invertebrates,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Campaea
9943101,1.0,,40096.0,973_AA-17_2002_1_9,33.43,-111.93,,9.0,1.0,2002,225,24758,Mimus polyglottos,species,Birds,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus
